,time,virusb,bacteriab,grazerb
0,0.0,100000.0,100000.0,100000.0
1,0.010012515644555695,590541.3935604064,96116.73016864774,1037.8449133271406
2,0.02002503128911139,1083542.7453363447,96085.37333066898,546.5158591513062
3,0.030037546933667086,1575587.7851170725,96326.79308445765,382.2250358548194
4,0.04005006257822278,2066512.7448384494,96680.7815125414,300.3334765819814
5,0.05006257822277847,2556258.30709726,97097.21364560538,251.51441423243554
6,0.06007509386733417,3044791.3702630494,97553.82480966204,219.26814752515654
7,0.07008760951188986,3532088.501520407,98038.77160111864,196.5086713967076
8,0.08010012515644556,4018130.622404553,98545.00251793029,179.6878400581609
9,0.09011264080100126,4502900.875067973,99067.97905935936,166.83222798025804
10,0.10012515644555695,4986383.635020686,99604.6077315737,156.7566273820943
11,0.11013767209011265,5468564.008050609,100152.6848216939,148.70612778137348
12,0.12015018773466835,5949427.555769925,100710.58437224009,142.17699474380208
13,0.13016270337922403,6428960.138859513,101277.07183224778,136.82014694998122
14,0.14017521902377972,6907147.825129256,101851.18719143854,132.38596895964932
15,0.15018773466833543,7383976.835064189,102432.16867719345,128.69118199964166
16,0.16020025031289112,7859433.510075475,103019.40122864439,125.59813074129235
17,0.1702127659574468,8333504.294946147,103612.3806864029,123.00137473338893
18,0.18022528160200252,8806175.72949096,104210.68828537267,120.81874811014998
19,0.1902377972465582,9277434.446121763,104813.97208835876,118.98524119793186
20,0.2002503128911139,9747267.171326276,105421.933213556,117.44871704334352
21,0.2102628285356696,10215660.72975553,106034.31544621073,116.16685208005251
22,0.2202753441802253,10682602.0498705,106650.89728190743,115.10491080336071
23,0.23028785982478098,11148078.170675986,107271.4857508657,114.23410108871408
24,0.2403003754693367,11612076.248994475,107895.91156564016,113.53034129907257
25,0.2503128911138924,12074583.566878272,108524.02526428731,112.97332329992265
26,0.26032540675844806,12535587.539023884,109155.69411401502,112.54579195243156
27,0.27033792240300375,12995075.719918564,109790.7996010417,112.23298488739655
28,0.28035043804755944,13453035.810645264,110429.23537775391,112.02219238500464
29,0.2903629536921152,13909455.665201735,111070.90557118795,111.90240893037475
30,0.30037546933667086,14364323.296222433,111715.72337502644,111.86405369981185
31,0.31038798498122655,14817626.880168537,112363.60987281302,111.8987457456627
32,0.32040050062578224,15269354.7618973,113014.49304586642,111.99912123061809
33,0.3304130162703379,15719495.4585178,113668.30693114211,112.1586837824303
34,0.3404255319148936,16168037.662583789,114324.9909022816,112.3716811861252
35,0.3504380475594493,16614970.244726473,114984.48905281676,112.6330031646914
36,0.36045056320400504,17060282.255495753,115646.7496625134,112.938095972003
37,0.3704630788485607,17503962.926710688,116311.72473487124,113.28289076583751
38,0.3804755944931164,17946001.6721508,116979.36959304415,113.66374306928205
39,0.3904881101376721,18386388.0877009,117649.64252570822,114.07738140177484
40,0.4005006257822278,18825111.95096226,118322.5044751979,114.52086345976105
41,0.41051314142678347,19262163.220361777,118997.91876126126,114.99153843453038
42,0.4205256570713392,19697532.03382959,119675.8508355181,115.48701444310555
43,0.4305381727158949,20131208.707086418,120356.26806336522,116.00513053049367
44,0.4405506883604506,20563183.73159248,121039.13952816543,116.54393207745294
45,0.45056320400500627,20993447.77210699,121724.43585603528,117.10164949595026
46,0.46057571964956195,21421991.66401722,122412.12905743676,117.67667931990401
47,0.47058823529411764,21848806.41041915,123102.1923845875,118.26756763256212
48,0.4806007509386734,22273883.17903777,123794.60020265401,118.87299541717364
49,0.49061326658322907,22697213.298970103,124489.32787253577,119.49176546801536
50,0.5006257822277848,23118788.25732111,125186.35164473274,120.12279079149526
51,0.5106382978723404,23538599.69576274,125885.64856251987,120.76508417961078
52,0.5206508135168961,23956639.40706776,126587.19637346586,121.41774880548886
53,0.5306633291614519,24372899.33161782,127290.9734502964,122.07997005495831
54,0.5406758448060075,24787371.553928293,127996.95871626477,122.7510077468955
55,0.5506883604505632,25200048.29917209,128705.13157943163,123.43018953029764
56,0.5607008760951189,25610921.929803256,129415.47186970068,124.11690444939008
57,0.5707133917396746,26019984.942188155,130127.95978408566,124.8105975455413
58,0.5807259073842304,26427229.963528726,130842.57583429267,125.5107645936877
59,0.590738423028786,26832649.74869576,131559.30080131322,126.21694769514137
60,0.6007509386733417,27236237.177310098,132278.11569092958,126.92873086033707
61,0.6107634543178974,27637985.25087618,132999.00169586512,127.64573636405697
62,0.6207759699624531,28037887.090104453,133721.94015872476,128.36762110524802
63,0.6307884856070087,28435935.93238835,134446.912539847,129.09407350489067
64,0.6408010012515645,28832125.129430443,135173.90038758022,129.8248106239176
65,0.6508135168961202,29226448.14499891,135902.88531072362,130.5595754908412
66,0.6608260325406758,29618898.552882716,136633.84895306278,131.298134614255
67,0.6708385481852316,30009470.034974717,137366.77297163688,132.0402758897783
68,0.6808510638297872,30398156.37955263,138101.63901541373,132.7858065049585
69,0.690863579474343,30784951.479681503,138838.42870734126,133.53455119072
70,0.7008760951188986,31169849.331802204,139577.12362655823,134.28635045782312
71,0.7108886107634543,31552844.034432497,140317.7052939348,135.04105916988684
72,0.7209011264080101,31933929.786988482,141060.15515712617,135.7985450435156
73,0.7309136420525657,32313100.88882517,141804.45457912478,136.55868749177935
74,0.7409261576971214,32690351.7383734,142550.5848261992,137.32137638997278
75,0.7509386733416771,33065676.832407102,143298.52705862172,138.08651111088014
76,0.7609511889862328,33439070.765389025,144048.26232078753,138.8539994880503
77,0.7709637046307886,33810528.22901189,144799.77153391234,139.62375702324718
78,0.7809762202753442,34180044.01177488,145553.0354882647,140.39570603966848
