,time,virusc,bacteriac,grazerc
0,0.0,10000000.0,10000000.0,10000000.0
1,0.010012515644555695,8292531.622902483,7903748.033257074,8056.9331974852885
2,0.02002503128911139,7604674.911672178,6865875.914755293,6996.718684312339
3,0.030037546933667086,7137620.825421557,6074630.660166029,6189.482512658976
4,0.04005006257822278,6820772.028342902,5451451.969982897,5553.7102594134385
5,0.05006257822277847,6610643.75793614,4947948.020452233,5040.031403816746
6,0.06007509386733417,6478984.043048472,4532678.162575499,4616.369866538517
7,0.07008760951188986,6406640.8691532705,4184328.2802652493,4260.980770392671
8,0.08010012515644556,6380171.495138185,3887937.6407809625,3958.6010249625433
9,0.09011264080100126,6389862.6421477115,3632695.726277827,3698.2016397128345
10,0.10012515644555695,6428521.175662608,3410596.499596211,3471.6147542581716
11,0.11013767209011265,6490706.575663172,3215584.2680508345,3272.662301419845
12,0.12015018773466835,6572228.074522115,3042994.110919235,3096.5850795324372
13,0.13016270337922403,6669805.050004811,2889173.9388278127,2939.657190401983
14,0.14017521902377972,6780832.980034922,2751224.0427901424,2798.9203155198607
15,0.15018773466833543,6903217.796099095,2626812.763192041,2671.9956742330787
16,0.16020025031289112,7035256.6819329765,2514043.836963134,2556.948687873991
17,0.1702127659574468,7175550.857885987,2411359.338863483,2452.1899396833132
18,0.18022528160200252,7322940.689015012,2317467.469569437,2356.401521715265
19,0.1902377972465582,7476456.622188295,2231287.955858052,2268.481326435102
20,0.2002503128911139,7635281.960362616,2151910.6208147393,2187.500785574996
21,0.2102628285356696,7798723.803125598,2078563.0535575754,2112.671877265958
22,0.2202753441802253,7966190.469513737,2010585.482393143,2043.32149295896
23,0.23028785982478098,8137173.773113555,1947411.0358884926,1978.8713077628117
24,0.2403003754693367,8311234.7812003475,1888549.9111247119,1918.8216169612854
25,0.2503128911138924,8487992.449543344,1833576.7191209402,1862.7384347572086
26,0.26032540675844806,8667114.385468263,1782120.2073979438,1810.243007633344
27,0.27033792240300375,8848309.392808001,1733854.959646413,1761.0033413712379
28,0.28035043804755944,9031321.252675265,1688494.4820294802,1714.727151962193
29,0.2903629536921152,9215923.714921748,1645785.6245352137,1671.1561728779507
30,0.30037546933667086,9401916.147344034,1605503.7438383684,1630.0612215643478
31,0.31038798498122655,9589120.155148001,1567448.926511428,1591.238343208569
32,0.32040050062578224,9777376.534484094,1531442.616801456,1554.505373303156
33,0.3304130162703379,9966542.796369957,1497324.8519259922,1519.6991205405536
34,0.3404255319148936,10156491.028629856,1464951.8847881616,1486.6729265711153
35,0.3504380475594493,10347106.133954428,1434194.2210703883,1455.2946658427006
36,0.36045056320400504,10538284.24187314,1404934.8562202416,1425.4450013632556
37,0.3704630788485607,10729931.40101468,1377067.8184065798,1397.0158195142735
38,0.3804755944931164,10921962.438914098,1350496.9001920759,1369.9089280886656
39,0.3904881101376721,11114299.976996941,1325134.5571677692,1344.0350437508378
40,0.4005006257822278,11306873.568489173,1300900.954993497,1319.3127142059052
41,0.41051314142678347,11499618.953921517,1277723.1384674297,1295.6675072678938
42,0.4205256570713392,11692477.414684232,1255534.3122902575,1273.0312787396838
43,0.4305381727158949,11885395.186989687,1234273.1904794914,1251.3415037559523
44,0.4405506883604506,12078322.957422694,1213883.4299345515,1230.5407004976792
45,0.45056320400500627,12271215.473368742,1194313.196448566,1210.575987090807
46,0.46057571964956195,12464031.089208765,1175514.6737942637,1191.3985808553234
47,0.47058823529411764,12656731.437272446,1157443.6826248693,1172.963409694104
48,0.4806007509386734,12849281.13580555,1140059.3592659365,1155.2287838936618
49,0.49061326658322907,13041647.521036774,1123323.8618530175,1138.1560965334306
50,0.5006257822277848,13233800.343083145,1107202.0324599203,1121.7094792019338
51,0.5106382978723404,13425711.642152928,1091661.2439229984,1105.855646135485
52,0.5206508135168961,13617355.493931545,1076671.1328810249,1090.563620366433
53,0.5306633291614519,13808707.843791293,1062203.412840196,1075.8045420961712
54,0.5406758448060075,13999746.358162086,1048231.7065579474,1061.5514998236117
55,0.5506883604505632,14190450.27179512,1034731.3736919597,1047.7793584280637
56,0.5607008760951189,14380800.271650204,1021679.3847958941,1034.4646248881845
57,0.5707133917396746,14570778.375442097,1009054.186789482,1021.5853041923732
58,0.5807259073842304,14760367.8269284,996835.5844818596,1009.1207945219687
59,0.590738423028786,14949553.002168933,985004.6360880428,997.0517772207419
60,0.6007509386733417,15138319.320668364,973543.5562592786,985.3601026302739
61,0.6107634543178974,15326653.173123412,962435.634990727,974.0287179981564
62,0.6207759699624531,15514541.844564395,951665.1508762697,963.0415896987457
63,0.6307884856070087,15701973.45242169,941217.3022082971,952.3836249996618
64,0.6408010012515645,15888936.882484581,931078.1394071415,942.040584331199
65,0.6508135168961202,16075421.736211842,921234.5043576745,931.9990324847118
66,0.6608260325406758,16261418.286818827,911673.9769872717,922.2463056096683
67,0.6708385481852316,16446917.430202685,902384.823610014,912.7704479889852
68,0.6808510638297872,16631910.638772732,893355.949356399,903.5601427948528
69,0.690863579474343,16816389.921788886,884576.8560685714,894.604656412
70,0.7008760951188986,17000347.788015895,876037.5944094382,885.8938247535726
71,0.7108886107634543,17183777.25291127,867728.7620677421,877.4180961344223
72,0.7209011264080101,17366671.73025553,859641.4079274212,869.168320822406
73,0.7309136420525657,17549025.07093313,851767.0573795657,861.1358527384334
74,0.7409261576971214,17730831.508120894,844097.6569942716,853.3124752430887
75,0.7509386733416771,17912085.641686272,836625.5544852356,845.6903823003067
76,0.7609511889862328,18092782.40935683,829343.4683253432,838.2621447871525
