,time,virusa,bacteriaa,grazera
0,0.0,1000.0,1000.0,1000.0
1,0.01001001001001001,499706.5214666285,1001.0598248270159,500.126235262713
2,0.02002002002002002,996480.3691816272,1005.0099754452742,333.5592449816657
3,0.03003003003003003,1492170.0891506283,1010.1656640739964,250.28794298915213
4,0.04004004004004004,1987040.8142330032,1016.0038880170041,200.3300131435591
5,0.050050050050050046,2481210.5741892825,1022.2935830933328,167.02743080617256
6,0.06006006006006006,2974742.4043902424,1028.9124819818703,143.24170995646512
7,0.07007007007007007,3467674.038992555,1035.788218843732,125.40382523544172
8,0.08008008008008008,3960029.92925055,1042.8745476195957,111.53106953053381
9,0.09009009009009009,4451826.877878447,1050.1402182972176,100.4338567759048
10,0.10010010010010009,4943076.970418505,1057.5632029105705,91.35519568590622
11,0.11011011011011011,5433789.2241271995,1065.1274549281236,83.7904355290973
12,0.12012012012012012,5923970.573768193,1072.8209760949298,77.39020826956832
13,0.13013013013013014,6413626.490668603,1080.6346052777408,71.90496831538445
14,0.14014014014014015,6902761.387407206,1088.5612284070191,67.15171749431921
15,0.15015015015015015,7391378.891477482,1096.5952453883317,62.993208730141696
16,0.16016016016016016,7879482.035738547,1104.7321998925006,59.32448908818453
17,0.17017017017017017,8367073.394324625,1112.9685158289392,56.06392903190616
18,0.18018018018018017,8854155.181701122,1121.3013056582695,53.1470846044725
19,0.19019019019019018,9340729.32625742,1129.7282282912076,50.522400841286654
20,0.20020020020020018,9826797.525911642,1138.2473819725355,48.148143154674536
21,0.21021021021021022,10312361.290726706,1146.8572223003982,45.99016513312168
22,0.22022022022022023,10797421.976086294,1155.556498655221,44.0202590107347
23,0.23023023023023023,11281980.808760243,1164.344204286852,42.21491838560123
24,0.24024024024024024,11766038.907661628,1173.2195367007673,40.55439796595598
25,0.2502502502502503,12249597.300504241,1182.181865896298,39.021990271004285
26,0.2602602602602603,12732656.937331494,1191.2307086678577,37.603462998446815
27,0.2702702702702703,13215218.701569723,1200.365707642082,36.2866172092431
28,0.2802802802802803,13697283.419120053,1209.5866140291307,35.060936546919756
29,0.2902902902902903,14178851.865942473,1218.8932733476875,33.91730688136915
30,0.3003003003003003,14659924.774374641,1228.2856135198717,32.847790127334704
31,0.3103103103103103,15140502.838437807,1237.7636348857866,31.845440496820267
32,0.3203203203203203,15620586.71834427,1247.3274017802462,30.904154150260958
33,0.3303303303303303,16100177.044305125,1256.9770353872148,30.01854537456787
34,0.34034034034034033,16579274.419802679,1266.7127076507031,29.183843996265765
35,0.35035035035035034,17057879.424392283,1276.5346360595734,28.39580987517653
36,0.36036036036036034,17535992.616123274,1286.4430791638063,27.6506612981929
37,0.37037037037037035,18013614.53362572,1296.4383327020203,26.945014678772285
38,0.38038038038038036,18490745.697920125,1306.5207262429142,26.275833485820748
39,0.39039039039039036,18967386.61402249,1316.6906202651076,25.640384833892014
40,0.40040040040040037,19443537.77232831,1326.9484036097017,25.036202502097762
41,0.41041041041041043,19919199.649833705,1337.2944912480098,24.461055175345212
42,0.42042042042042044,20394372.711203173,1347.729322321135,23.91291911819795
43,0.43043043043043044,20869057.40972998,1358.2533584149066,23.389954593220565
44,0.44044044044044045,21343254.188175105,1368.8670820366306,22.890485423991457
45,0.45045045045045046,21816963.479505602,1379.5709952661684,22.412981209675387
46,0.46046046046046046,22290185.7075708,1390.3656185605887,21.956041814754467
47,0.47047047047047047,22762921.28769121,1401.2514896915322,21.518383806309025
48,0.4804804804804805,23235170.627190623,1412.229162798328,21.09882853186483
49,0.4904904904904905,23706934.125873934,1423.2992075451853,20.696291666439368
50,0.5005005005005005,24178212.17645005,1434.4622083668592,20.309773967998474
51,0.5105105105105106,24649005.164912842,1445.7187637913692,19.938353048851766
52,0.5205205205205206,25119313.470888324,1457.0694858380134,19.581176177011432
53,0.5305305305305306,25589137.467955686,1468.5149994739909,19.23745379545826
54,0.5405405405405406,26058477.523922738,1480.0559421279233,18.90645379718433
55,0.5505505505505506,26527334.001081765,1491.6929632517413,18.587496385830388
56,0.5605605605605606,26995707.256441507,1503.4267239274357,18.279949489966434
57,0.5705705705705706,27463597.641930062,1515.2578965130865,17.98322465428097
58,0.5805805805805806,27931005.504592568,1527.1871643238194,17.69677333363218
59,0.5905905905905906,28397931.186765738,1539.2152213457998,17.420083580273317
60,0.6006006006006006,28864375.026226025,1551.3427719768954,17.152677030172885
61,0.6106106106106106,29330337.35633336,1563.5705307951716,16.894106208235648
62,0.6206206206206206,29795818.506165944,1575.8992223493665,16.643952064987396
63,0.6306306306306306,30260818.80063609,1588.3295809717365,16.401821767844027
64,0.6406406406406406,30725338.56059583,1600.8623506087094,16.167346673460578
65,0.6506506506506506,31189378.10293579,1613.4982846702528,15.940180502665235
66,0.6606606606606606,31652937.740676366,1626.2381458940702,15.71999766118554
67,0.6706706706706707,32116017.783044834,1639.082706226826,15.506491751813375
68,0.6806806806806807,32578618.535549935,1652.0327467142126,15.299374145964302
69,0.6906906906906907,33040740.300046884,1665.0890574056327,15.098372715512046
70,0.7007007007007007,33502383.37479474,1678.2524372724483,14.903230711540683
71,0.7107107107107107,33963548.054520175,1691.523694130607,14.713705640917325
72,0.7207207207207207,34424234.63046357,1704.9036445786958,14.52956833219541
73,0.7307307307307307,34884443.390423685,1718.3931139412507,14.35060202761295
74,0.7407407407407407,35344174.61879544,1731.9929362188911,14.176601532068153
75,0.7507507507507507,35803428.5966099,1745.7039540501767,14.007372487200255
76,0.7607607607607607,36262205.60156488,1759.527018675844,13.842730642461756
