,time,virussmall,bacteriasmall,grazersmall,virusmed,bacteriamed,grazermed,viruslarge,bacterialarge,grazerlarge
0,0.0,54867388.21764273,403002.02427475573,403.5616143309986,54867388.21764273,403002.02427475573,0.0,54867388.21764273,201501.01213737787,0.0
1,0.010012515644555695,54371613.58874049,402997.59782462224,403.5563287936742,54591309.87567548,404626.0044787593,0.0,54701671.2374865,202722.00847263835,0.0
2,0.02002503128911139,53880324.94900219,402993.014628453,403.54965255923804,54315737.55374294,406249.8111945827,0.0,54535786.72883434,203947.87127083415,0.0
3,0.030037546933667086,53393481.595432796,402988.28198563826,403.542024356194,54040677.33815479,407873.3942540263,0.0,54369736.60940038,205178.58942052283,0.0
4,0.04005006257822278,52911043.96289202,402983.4054444698,403.5337215971719,53766135.37740331,409496.7026933351,0.0,54203522.54350412,206414.15302594908,0.0
5,0.05006257822277847,52432972.49714853,402978.38967719575,403.5249377933403,53492119.181607746,411119.674422604,0.0,54037146.6146156,207654.54946393878,0.0
6,0.06007509386733417,51959227.90118908,402973.23866296315,403.51580195043067,53218635.189559944,412742.25567700586,0.0,53870611.19216003,208899.76455747808,0.0
7,0.07008760951188986,51489771.173194654,402967.95590733434,403.50640016102494,52945689.343250215,414364.3965300245,0.0,53703918.285728835,210149.78558377596,0.0
8,0.08010012515644556,51024563.63618593,402962.544603194,403.4967914472061,52673288.01013664,415986.04367087514,0.0,53537069.839469895,211404.60008004092,0.0
9,0.09011264080100126,50563566.90622356,402957.0077390563,403.48701791666434,52401437.44471984,417607.14398926,0.0,53370067.92473458,212664.19488929358,0.0
10,0.10012515644555695,50106742.93956811,402951.3481121463,403.4771064763975,52130143.93067017,419227.64432310814,0.0,53202914.715417124,213928.55546467414,0.0
11,0.11013767209011265,49654054.02179527,402945.5684013762,403.4670757790093,51859413.6881188,420847.49165260367,0.0,53035612.35159139,215197.66771772926,0.0
12,0.12015018773466835,49205462.7629632,402939.6712027357,403.4569395920706,51589252.90333369,422466.6330312294,0.0,52868163.03392545,216471.5167259917,0.0
13,0.13016270337922403,48760932.1070699,402933.65904338146,403.4467082441484,51319667.73773383,424085.0155711621,0.0,52700568.986539215,217750.08724480958,0.0
14,0.14017521902377972,48320425.32533014,402927.53438825253,403.43638918974756,51050664.28356713,425702.58660055,0.0,52532832.454646386,219033.3637380342,0.0
15,0.15018773466833543,47883906.02619657,402921.2996477572,403.42598783909926,50782248.60980314,427319.293489873,0.0,52364955.73069169,220321.3299955295,0.0
16,0.16020025031289112,47451338.123315744,402914.95719077357,403.4155085014139,50514426.7574037,428935.0836650989,0.0,52196941.13103466,221613.96948066974,0.0
17,0.1702127659574468,47022685.85231834,402908.5093469999,403.4049547660501,50247204.7175949,430549.9046681261,0.0,52028790.99650785,222911.26532249615,0.0
18,0.18022528160200252,46597913.793972194,402901.95840724424,403.3943297398637,49980588.43230072,432163.70416055113,0.0,51860507.7092199,224213.20007962896,0.0
19,0.1902377972465582,46176986.83964682,402895.30662771483,403.3836361233081,49714583.810179844,433776.43006298103,0.0,51692093.68883093,225519.75578540657,0.0
20,0.2002503128911139,45759870.1658358,402888.5562338506,403.372876333758,49449196.71203872,435388.03042831604,0.0,51523551.3512499,226830.91444845396,0.0
21,0.2102628285356696,45346529.28860275,402881.70941568585,403.3620525632461,49184432.94578329,436998.4533978948,0.0,51354883.15938666,228146.65743759292,0.0
22,0.2202753441802253,44936930.07198917,402874.76832838467,403.35116689526086,48920298.271863095,438607.64724878746,0.0,51186091.61981615,229466.96552226937,0.0
23,0.23028785982478098,44531038.5464956,402867.73511048633,403.3402213626488,48656798.40329972,440215.56039405917,0.0,51017179.274448104,230791.81897351381,0.0
24,0.2403003754693367,44128821.232532516,402860.61185205565,403.32921787706704,48393939.019142486,441822.1415072088,0.0,50848148.696226604,232121.19761511698,0.0
25,0.2503128911138924,43730244.88349759,402853.40062092064,403.3181583412491,48131725.75796866,443427.3394620588,0.0,50679002.45009753,233455.08128812897,0.0
26,0.26032540675844806,43335276.45000732,402846.1034648759,403.30704457779746,47870164.20571244,445031.1032201966,0.0,50509743.14363905,234793.44924834167,0.0
27,0.27033792240300375,42943883.234825864,402838.7223967137,403.29587831232084,47609259.9031356,446633.38190006366,0.0,50340373.42119108,236136.28023614953,0.0
28,0.28035043804755944,42556032.890565604,402831.2593946977,403.28466118362616,47349018.345827445,448234.1247769551,0.0,50170895.95677002,237483.55256086658,0.0
29,0.2903629536921152,42171693.253255874,402823.71642183705,403.27339488800175,47089444.96912783,449833.2814239002,0.0,50001313.453512505,238835.2440986083,0.0
30,0.30037546933667086,41790832.52708362,402816.0954044919,403.2620810190613,46830545.14398872,451430.8017503316,0.0,49831628.63950668,240191.3322764195,0.0
31,0.31038798498122655,41413419.28321281,402808.3982325102,403.25072106876746,46572324.20712547,453026.6357203511,0.0,49661844.27349154,241551.79409397423,0.0
32,0.32040050062578224,41039422.426411994,402800.6267630925,403.2393164563628,46314787.44668602,454620.73348663654,0.0,49491963.14394974,242916.6061201218,0.0
33,0.3304130162703379,40668811.010945216,402792.7828427073,403.227868793972,46057940.102103956,456213.0453918156,0.0,49321988.068427175,244285.74449029606,0.0
34,0.3404255319148936,40301554.235809684,402784.86830765783,403.21637989347187,45801787.36342312,457803.5219751137,0.0,49151921.89272299,245659.18490586913,0.0
35,0.3504380475594493,39937621.7156252,402776.884951837,403.2048513756976,45546334.31722186,459392.11450468306,0.0,48981767.48584857,247036.90263013093,0.0
